d	f	mean
1	0.1	na
1	0.15	na
1	0.2	na
1	0.25	na
1	0.3	na
1	0.35	na
1	0.4	na
1	0.45	na
1	0.5	na
1	0.55	0.95
1	0.6	1
1	0.65	0.833333333333333
1	0.7	1
1	0.75	1
1	0.8	1
1	0.85	1
1	0.9	1
1	0.95	1
1	1	1
1	1.05	0.95
1	1.1	0.95
1	1.15	1
1	1.2	1
1	1.25	0.95
1	1.3	1
1	1.35	1
1	1.4	1
1	1.45	1
1	1.5	1
2	0.1	na
2	0.15	na
2	0.2	na
2	0.25	na
2	0.3	na
2	0.35	1
2	0.4	1
2	0.45	1
2	0.5	0.95
2	0.55	1
2	0.6	1
2	0.65	1
2	0.7	1
2	0.75	1
2	0.8	1
2	0.85	1
2	0.9	1
2	0.95	1
2	1	1
2	1.05	0.25
2	1.1	0
2	1.15	0
2	1.2	0.05
2	1.25	0
2	1.3	0
2	1.35	0
2	1.4	0
2	1.45	0
2	1.5	0
3	0.1	na
3	0.15	na
3	0.2	na
3	0.25	0.95
3	0.3	1
3	0.35	1
3	0.4	1
3	0.45	1
3	0.5	1
3	0.55	1
3	0.6	1
3	0.65	1
3	0.7	0.25
3	0.75	0
3	0.8	0
3	0.85	0.05
3	0.9	0
3	0.95	0
3	1	0.05
3	1.05	0
3	1.1	0
3	1.15	0
3	1.2	0.1
3	1.25	0.05
3	1.3	0.05
3	1.35	0.05
3	1.4	0.05
3	1.45	0
3	1.5	0.05
4	0.1	na
4	0.15	na
4	0.2	na
4	0.25	1
4	0.3	1
4	0.35	1
4	0.4	1
4	0.45	1
4	0.5	1
4	0.55	0.15
4	0.6	0.15
4	0.65	0
4	0.7	0.05
4	0.75	0.05
4	0.8	0.1
4	0.85	0.05
4	0.9	0.05
4	0.95	0.1
4	1	0.15
4	1.05	0.05
4	1.1	0.3
4	1.15	0.15
4	1.2	0.1
4	1.25	0.05
4	1.3	0.05
4	1.35	0
4	1.4	0.05
4	1.45	0.1
4	1.5	0
5	0.1	na
5	0.15	na
5	0.2	na
5	0.25	1
5	0.3	1
5	0.35	1
5	0.4	1
5	0.45	0
5	0.5	0
5	0.55	0.05
5	0.6	0.05
5	0.65	0.15
5	0.7	0.105263157894737
5	0.75	0.2
5	0.8	0.25
5	0.85	0.5
5	0.9	0.3
5	0.95	0.15
5	1	0.05
5	1.05	0.05
5	1.1	0.25
5	1.15	0.4
5	1.2	0.4
5	1.25	0.1
5	1.3	0.1
5	1.35	0.05
5	1.4	0.05
5	1.45	0
5	1.5	0.05
6	0.1	na
6	0.15	na
6	0.2	1
6	0.25	1
6	0.3	1
6	0.35	0.15
6	0.4	0
6	0.45	0.1
6	0.5	0.2
6	0.55	0.35
6	0.6	0.5
6	0.65	0.3
6	0.7	0.45
6	0.75	0.2
6	0.8	0.15
6	0.85	0.7
6	0.9	0.2
6	0.95	0.2
6	1	0.05
6	1.05	0
6	1.1	0.35
6	1.15	0.6
6	1.2	0.45
6	1.25	0.15
6	1.3	0
6	1.35	0
6	1.4	0.05
6	1.45	0.05
6	1.5	0.1
7	0.1	na
7	0.15	na
7	0.2	0.95
7	0.25	1
7	0.3	0.3
7	0.35	0
7	0.4	0.3
7	0.45	0.5
7	0.5	0.7
7	0.55	0.7
7	0.6	0.65
7	0.65	0.35
7	0.7	0.5
7	0.75	0.35
7	0.8	0.2
7	0.85	0.4
7	0.9	0.8
7	0.95	0.1
7	1	0.05
7	1.05	0
7	1.1	0.25
7	1.15	0.55
7	1.2	0.6
7	1.25	0.05
7	1.3	0.1
7	1.35	0.05
7	1.4	0.1
7	1.45	0
7	1.5	0
8	0.1	na
8	0.15	na
8	0.2	1
8	0.25	1
8	0.3	0.15
8	0.35	0.3
8	0.4	0.6
8	0.45	0.75
8	0.5	0.85
8	0.55	0.578947368421053
8	0.6	0.65
8	0.65	0.5
8	0.7	0.65
8	0.75	0.4
8	0.8	0.1
8	0.85	0.55
8	0.9	0.5
8	0.95	0.3
8	1	0.15
8	1.05	0.15
8	1.1	0.25
8	1.15	0.45
8	1.2	0.7
8	1.25	0.2
8	1.3	0.05
8	1.35	0
8	1.4	0
8	1.45	0
8	1.5	0.05
9	0.1	na
9	0.15	na
9	0.2	1
9	0.25	0
9	0.3	0.3
9	0.35	0.65
9	0.4	0.75
9	0.45	0.8
9	0.5	0.75
9	0.55	0.55
9	0.6	0.7
9	0.65	0.4
9	0.7	0.75
9	0.75	0.4
9	0.8	0.2
9	0.85	0.6
9	0.9	0.8
9	0.95	0.3
9	1	0.05
9	1.05	0.2
9	1.1	0.35
9	1.15	0.55
9	1.2	0.55
9	1.25	0.45
9	1.3	0.05
9	1.35	0.1
9	1.4	0.05
9	1.45	0.1
9	1.5	0.1
10	0.1	na
10	0.15	1
10	0.2	1
10	0.25	0.35
10	0.3	0.8
10	0.35	0.85
10	0.4	0.85
10	0.45	0.85
10	0.5	0.8
10	0.55	0.6
10	0.6	0.9
10	0.65	0.5
10	0.7	0.7
10	0.75	0.65
10	0.8	0.1
10	0.85	0.65
10	0.9	0.8
10	0.95	0.35
10	1	0.2
10	1.05	0.05
10	1.1	0.2
10	1.15	0.45
10	1.2	0.7
10	1.25	0.3
10	1.3	0.15
10	1.35	0.05
10	1.4	0
10	1.45	0.1
10	1.5	0.15
