d	f	mean
1	0.1	na
1	0.15	na
1	0.2	na
1	0.25	na
1	0.3	na
1	0.35	na
1	0.4	na
1	0.45	na
1	0.5	na
1	0.55	na
1	0.6	na
1	0.65	na
1	0.7	na
1	0.75	na
1	0.8	na
1	0.85	na
1	0.9	na
1	0.95	na
1	1	na
1	1.05	na
1	1.1	na
1	1.15	na
1	1.2	na
1	1.25	na
1	1.3	na
1	1.35	na
1	1.4	na
1	1.45	na
1	1.5	na
2	0.1	na
2	0.15	na
2	0.2	na
2	0.25	na
2	0.3	na
2	0.35	na
2	0.4	na
2	0.45	na
2	0.5	na
2	0.55	na
2	0.6	na
2	0.65	na
2	0.7	na
2	0.75	na
2	0.8	na
2	0.85	na
2	0.9	na
2	0.95	na
2	1	na
2	1.05	0.229532939372419
2	1.1	0.264067087304441
2	1.15	0.22103636362623
2	1.2	0.242265827583392
2	1.25	0.212288504290922
2	1.3	0.197049114094351
2	1.35	0.194735171264789
2	1.4	0.22246618023282
2	1.45	0.187852526023968
2	1.5	0.198616293251237
3	0.1	na
3	0.15	na
3	0.2	na
3	0.25	na
3	0.3	na
3	0.35	na
3	0.4	na
3	0.45	na
3	0.5	na
3	0.55	na
3	0.6	na
3	0.65	na
3	0.7	0.193327064303045
3	0.75	0.206678681425003
3	0.8	0.167952087828148
3	0.85	0.172234697165186
3	0.9	0.180720841539126
3	0.95	0.201014426995696
3	1	0.186156822751463
3	1.05	0.194676947877698
3	1.1	0.197614727588398
3	1.15	0.168614107462992
3	1.2	0.181269232773219
3	1.25	0.195905878447357
3	1.3	0.190286036137142
3	1.35	0.174709055450259
3	1.4	0.17537194433696
3	1.45	0.175811707660098
3	1.5	0.191202641710016
4	0.1	na
4	0.15	na
4	0.2	na
4	0.25	na
4	0.3	na
4	0.35	na
4	0.4	na
4	0.45	na
4	0.5	0.000194327723581213
4	0.55	0.179918461745559
4	0.6	0.170680704887934
4	0.65	0.177573929794627
4	0.7	0.172793072144246
4	0.75	0.186353632543363
4	0.8	0.183620799246062
4	0.85	0.183626055281327
4	0.9	0.169536876255944
4	0.95	0.182562118701031
4	1	0.178431354745766
4	1.05	0.163706624404633
4	1.1	0.180228870902906
4	1.15	0.197681112211526
4	1.2	0.198849748176952
4	1.25	0.201177508147737
4	1.3	0.186544148577675
4	1.35	0.186966452448291
4	1.4	0.193493510952756
