d	f	mean
1	0.1	na
1	0.15	na
1	0.2	na
1	0.25	na
1	0.3	na
1	0.35	na
1	0.4	na
1	0.45	na
1	0.5	na
1	0.55	na
1	0.6	na
1	0.65	na
1	0.7	na
1	0.75	na
1	0.8	na
1	0.85	na
1	0.9	na
1	0.95	na
1	1	na
1	1.05	na
1	1.1	na
1	1.15	na
1	1.2	na
1	1.25	na
1	1.3	na
1	1.35	na
1	1.4	na
1	1.45	na
1	1.5	na
2	0.1	na
2	0.15	na
2	0.2	na
2	0.25	na
2	0.3	na
2	0.35	na
2	0.4	na
2	0.45	na
2	0.5	na
2	0.55	na
2	0.6	na
2	0.65	na
2	0.7	na
2	0.75	na
2	0.8	na
2	0.85	na
2	0.9	na
2	0.95	na
2	1	na
2	1.05	2.09999561653677
2	1.1	2.19999540270361
2	1.15	2.29999526935401
2	1.2	2.39999517488204
2	1.25	2.49999507669634
2	1.3	2.59999508010811
2	1.35	2.69999520772333
2	1.4	2.79999542367199
2	1.45	2.89999546709331
2	1.5	2.99999549269603
3	0.1	na
3	0.15	na
3	0.2	na
3	0.25	na
3	0.3	na
3	0.35	na
3	0.4	na
3	0.45	na
3	0.5	na
3	0.55	na
3	0.6	na
3	0.65	na
3	0.7	2.09999506629056
3	0.75	2.24999477008738
3	0.8	2.39999443385467
3	0.85	2.54999469873376
3	0.9	2.6999943233131
3	0.95	2.84999368114144
3	1	2.99999058259121
3	1.05	3.14998444610201
3	1.1	3.29997113739748
3	1.15	3.44995671853444
3	1.2	3.59995067834889
3	1.25	3.74996038808893
3	1.3	3.89993960943451
3	1.35	4.04993172970151
3	1.4	4.19992191191952
3	1.45	4.34985930431104
3	1.5	4.49984598869776
4	0.1	na
4	0.15	na
4	0.2	na
4	0.25	na
4	0.3	na
4	0.35	na
4	0.4	na
4	0.45	na
4	0.5	1.99999354399688
4	0.55	2.19999508615
4	0.6	2.39999387092123
4	0.65	2.59999260701866
4	0.7	2.7999766777902
4	0.75	2.99994284705295
4	0.8	3.19986766488943
4	0.85	3.39992032145503
4	0.9	3.59981291219371
4	0.95	3.79979889896524
4	1	3.99977614495957
4	1.05	4.19963209226219
4	1.1	4.3991150201271
4	1.15	4.59603970032078
4	1.2	4.7879612125405
4	1.25	4.92393354586106
4	1.3	4.82906853122787
4	1.35	4.75391510888807
4	1.4	4.93563493648081
