d	f	mean
1	0.1	na
1	0.15	na
1	0.2	na
1	0.25	na
1	0.3	na
1	0.35	na
1	0.4	na
1	0.45	na
1	0.5	na
1	0.55	na
1	0.6	na
1	0.65	na
1	0.7	na
1	0.75	na
1	0.8	na
1	0.85	na
1	0.9	na
1	0.95	na
1	1	na
1	1.05	na
1	1.1	na
1	1.15	na
1	1.2	na
1	1.25	na
1	1.3	na
1	1.35	na
1	1.4	na
1	1.45	na
1	1.5	na
2	0.1	na
2	0.15	na
2	0.2	na
2	0.25	na
2	0.3	na
2	0.35	na
2	0.4	na
2	0.45	na
2	0.5	na
2	0.55	na
2	0.6	na
2	0.65	na
2	0.7	na
2	0.75	na
2	0.8	na
2	0.85	na
2	0.9	na
2	0.95	na
2	1	na
2	1.05	19.8
2	1.1	17.75
2	1.15	22.75
2	1.2	17.4
2	1.25	20.25
2	1.3	21.2
2	1.35	20.8947368421053
2	1.4	15.6
2	1.45	20.5
2	1.5	18.1052631578947
3	0.1	na
3	0.15	na
3	0.2	na
3	0.25	na
3	0.3	na
3	0.35	na
3	0.4	na
3	0.45	na
3	0.5	na
3	0.55	na
3	0.6	na
3	0.65	na
3	0.7	24.4210526315789
3	0.75	24.6
3	0.8	27.65
3	0.85	25.6
3	0.9	22.5263157894737
3	0.95	18.7
3	1	20.7
3	1.05	18.8947368421053
3	1.1	17.35
3	1.15	21.6
3	1.2	18.8
3	1.25	15.2222222222222
3	1.3	15.05
3	1.35	17.55
3	1.4	17.9
3	1.45	17.7
3	1.5	14.7
4	0.1	na
4	0.15	na
4	0.2	na
4	0.25	na
4	0.3	na
4	0.35	na
4	0.4	na
4	0.45	na
4	0.5	50
4	0.55	28.15
4	0.6	27.45
4	0.65	24.7
4	0.7	23.8
4	0.75	20.65
4	0.8	20.05
4	0.85	19.15
4	0.9	20.8
4	0.95	16.8
4	1	17.5
4	1.05	19.75
4	1.1	17
4	1.15	14.35
4	1.2	13.75
4	1.25	13.6
4	1.3	15.7894736842105
4	1.35	15.75
4	1.4	13.95
4	1.45	12.45
4	1.5	11.4
5	0.1	na
5	0.15	na
5	0.2	na
5	0.25	na
5	0.3	na
5	0.35	na
5	0.4	50
5	0.45	32.7
5	0.5	31.35
5	0.55	24.2
5	0.6	23.15
5	0.65	23.7
5	0.7	21.4736842105263
5	0.75	20.15
5	0.8	22.6
