d	f	mean
1	0.1	6.0606256092867
1	0.15	6.03106546477461
1	0.2	6.01982253535603
1	0.25	5.98840164155351
1	0.3	5.93822464994324
1	0.35	5.93767826550913
1	0.4	5.85995020003375
1	0.45	5.85182564985898
1	0.5	5.80369359152047
1	0.55	5.76835438544389
1	0.6	5.76606638885255
1	0.65	5.72310452329667
1	0.7	5.68531950663441
1	0.75	5.65254482795295
1	0.8	5.65313404415031
1	0.85	5.61179386185632
1	0.9	5.59899130785822
1	0.95	5.51912454959946
1	1	5.54411500765706
1	1.05	5.51760109438509
1	1.1	5.45052938420965
1	1.15	5.50423666093908
1	1.2	5.43365801511652
1	1.25	5.43488828041706
1	1.3	5.3980253825752
1	1.35	5.40170581831239
1	1.4	5.41459258880917
1	1.45	5.41020105274846
1	1.5	5.41270509472278
2	0.1	6.03277514719202
2	0.15	5.98675149656732
2	0.2	5.9340206665923
2	0.25	5.89571589961201
2	0.3	5.83739640353711
2	0.35	5.77191965928824
2	0.4	5.72896781354881
2	0.45	5.62545655724534
2	0.5	5.61080227155812
2	0.55	5.5676494669628
2	0.6	5.51279148942134
2	0.65	5.54929361471483
2	0.7	5.4554099131971
2	0.75	5.47449706102237
2	0.8	5.38617441652532
2	0.85	5.37527623342802
2	0.9	5.38659517742777
2	0.95	5.30080182255815
2	1	5.30383881272763
2	1.05	5.33013870073033
2	1.1	5.22342247070853
2	1.15	5.294506126512
2	1.2	5.28278723572305
2	1.25	5.28799812541777
2	1.3	5.29725602090018
2	1.35	5.25722881127769
2	1.4	5.26524294023142
2	1.45	5.20760313368067
2	1.5	5.2701068909009
3	0.1	6.01358298468208
3	0.15	5.95922583285599
3	0.2	5.88800588336548
3	0.25	5.80907485223399
3	0.3	5.73965994602222
3	0.35	5.65264896486432
3	0.4	5.62232869680966
3	0.45	5.52774548256694
3	0.5	5.49856485180613
3	0.55	5.4337399201624
3	0.6	5.41292626117559
3	0.65	5.32001327604703
3	0.7	5.35496465359804
3	0.75	5.30906852137147
3	0.8	5.34460740250157
3	0.85	5.22438814411722
3	0.9	5.31971583040404
3	0.95	5.22888789621306
3	1	5.26925415837515
3	1.05	5.28686183161332
3	1.1	5.16347400814048
3	1.15	5.06086604968011
3	1.2	5.18667499773765
3	1.25	5.22392924044827
3	1.3	5.13390598749774
3	1.35	5.1284808528376
3	1.4	5.14472968521929
3	1.45	5.16172921493915
3	1.5	5.19347022600845
4	0.1	6.00423091501175
4	0.15	5.9287353961583
4	0.2	5.83851521656514
4	0.25	5.72147833938455
4	0.3	5.66800243129132
4	0.35	5.58009097973397
4	0.4	5.52895036321981
4	0.45	5.48687630509215
4	0.5	5.33333621795062
4	0.55	5.39981635773672
4	0.6	5.35711739500325
4	0.65	5.35816231582271
4	0.7	5.22941547696755
4	0.75	5.31448364951068
4	0.8	5.19721933896977
4	0.85	5.23050026727869
4	0.9	5.23594158758478
4	0.95	5.10536198842945
4	1	5.11715906078653
4	1.05	5.10131617343638
4	1.1	5.07963900444021
4	1.15	5.13579313553951
4	1.2	5.14369227087367
4	1.25	5.02575201699919
4	1.3	5.03275068092679
4	1.35	5.02736326846614
4	1.4	5.10718621851894
4	1.45	5.09557276137476
4	1.5	5.14555842631744
5	0.1	5.98638367328919
5	0.15	5.8975106682735
5	0.2	5.78253410903247
5	0.25	5.68023576836405
5	0.3	5.60054285103203
5	0.35	5.54230134425769
5	0.4	5.466868065024
5	0.45	5.38012681751644
5	0.5	5.3397040934006
5	0.55	5.30887076586636
5	0.6	5.23218225251279
5	0.65	5.28236785045561
5	0.7	5.19698555131854
5	0.75	5.2052112682008
5	0.8	5.17074093548457
5	0.85	5.17958065700179
5	0.9	5.17334771433524
5	0.95	5.12138779929918
5	1	5.1773350329094
5	1.05	5.09598049739911
5	1.1	5.0417673985591
5	1.15	5.04945526877038
5	1.2	5.05722683369018
5	1.25	5.11743868225955
5	1.3	5.0848201649839
5	1.35	5.0475513256352
5	1.4	5.00643095497227
5	1.45	5.0786849621053
5	1.5	5.10847876509481
6	0.1	5.9769917513716
6	0.15	5.84359609588117
6	0.2	5.7482558802181
6	0.25	5.61024333846771
6	0.3	5.57815238989359
6	0.35	5.44380743953579
6	0.4	5.39690576530354
6	0.45	5.34345261189808
6	0.5	5.32231731014137
6	0.55	5.26168398969287
6	0.6	5.25069976373855
