d	f	mean
1	0.1	36.9069
1	0.15	37.2583
1	0.2	37.2653
1	0.25	37.8505
1	0.3	37.9793
1	0.35	38.406
1	0.4	38.7033
1	0.45	38.9827
1	0.5	38.7221
1	0.55	38.8393
1	0.6	39.4188
1	0.65	39.4092
1	0.7	39.2415
1	0.75	39.3013
1	0.8	39.5823
1	0.85	39.6301
1	0.9	39.3628
1	0.95	39.7408421052632
1	1	39.7947
1	1.05	39.3682
1	1.1	40.0064
1	1.15	39.7946
1	1.2	39.5911
1	1.25	39.9302
1	1.3	39.7203
1	1.35	40.2176
1	1.4	39.663
1	1.45	39.8498
1	1.5	39.6518
2	0.1	37.5647
2	0.15	38.4065
2	0.2	39.1951
2	0.25	39.3383
2	0.3	39.97
2	0.35	40.0845
2	0.4	40.6198
2	0.45	40.5327
2	0.5	40.6752
2	0.55	40.2981
2	0.6	40.7628
2	0.65	40.8282
2	0.7	41.0393
2	0.75	40.9175
2	0.8	40.8797
2	0.85	40.5867
2	0.9	40.5408
2	0.95	40.4547
2	1	40.6502
2	1.05	37.1838
2	1.1	30.3095
2	1.15	28.3145
2	1.2	25.882947368421
2	1.25	24.3127
2	1.3	24.075
2	1.35	23.2825263157895
2	1.4	23.3428421052632
2	1.45	20.9006315789474
2	1.5	21.4706
3	0.1	38.3508
3	0.15	39.2348
3	0.2	40.3085
3	0.25	40.8152
3	0.3	41.0199
3	0.35	42.2
3	0.4	41.3832
3	0.45	41.8031
3	0.5	41.5849
3	0.55	41.6606
3	0.6	41.542
3	0.65	41.6089
3	0.7	38.014
3	0.75	30.6971
3	0.8	27.768
3	0.85	25.1568
3	0.9	24.4033
3	0.95	26.9992631578947
3	1	25.0194
3	1.05	22.8230526315789
3	1.1	23.6707
3	1.15	22.2013
3	1.2	21.9982
3	1.25	21.1816
3	1.3	21.3869
3	1.35	19.937
3	1.4	19.7588888888889
3	1.45	21.3495789473684
3	1.5	20.2995789473684
4	0.1	39.3595
4	0.15	40.3287
4	0.2	41.1445
4	0.25	41.996
4	0.3	42.4129
4	0.35	42.4075
4	0.4	42.6061
4	0.45	42.1464
4	0.5	42.1644
4	0.55	34.9772
4	0.6	30.9905
4	0.65	27.8423333333333
4	0.7	27.6071
4	0.75	25.3463157894737
4	0.8	24.7212
4	0.85	24.5149473684211
4	0.9	22.9432
4	0.95	22.6455789473684
4	1	22.9751
4	1.05	21.9919
4	1.1	21.5527368421053
4	1.15	21.2049
4	1.2	20.017
4	1.25	19.3814
4	1.3	19.5542105263158
4	1.35	18.4752
4	1.4	19.0653684210526
4	1.45	19.4662
4	1.5	18.1735789473684
5	0.1	39.8276842105263
5	0.15	41.4315
5	0.2	41.825
5	0.25	42.3289
5	0.3	42.6165
5	0.35	42.6793
5	0.4	42.9097
5	0.45	34.571
5	0.5	30.9993
5	0.55	29.2728
5	0.6	27.7245
5	0.65	27.5128421052632
5	0.7	26.1209
5	0.75	24.2484
5	0.8	23.9481
5	0.85	24.0299
5	0.9	24.2582
5	0.95	22.3771
5	1	20.489
5	1.05	21.0392631578947
5	1.1	21.875
5	1.15	20.1445263157895
5	1.2	20.0182
5	1.25	19.4985
5	1.3	17.1922
5	1.35	18.3492
5	1.4	17.9146
5	1.45	16.989
5	1.5	17.6641
6	0.1	40.5436
6	0.15	42.1666
6	0.2	42.6412
6	0.25	43.5409
6	0.3	43.3565
6	0.35	41.3268
6	0.4	33.6853684210526
6	0.45	30.7558
6	0.5	29.3025263157895
6	0.55	29.8601
6	0.6	27.7804705882353
6	0.65	25.791
6	0.7	25.4623157894737
6	0.75	24.782
6	0.8	22.4415789473684
6	0.85	23.8806
6	0.9	22.5558
6	0.95	20.6229
6	1	20.2971
6	1.05	19.2923
6	1.1	17.9248
6	1.15	19.7023
6	1.2	17.3203333333333
6	1.25	19.0552631578947
6	1.3	17.7724
6	1.35	17.0467
6	1.4	17.6276
6	1.45	15.8223157894737
6	1.5	15.8451
7	0.1	41.1872
7	0.15	42.8093684210526
7	0.2	43.39
7	0.25	43.8905
7	0.3	42.9383
7	0.35	34.9762
7	0.4	31.0334
7	0.45	29.3145
7	0.5	28.2373
7	0.55	27.8607
7	0.6	26.189
7	0.65	24.4785
7	0.7	23.7606
7	0.75	22.6789473684211
7	0.8	20.8827
7	0.85	21.0446
7	0.9	20.7847368421053
7	0.95	19.9459
7	1	18.973
7	1.05	20.2554
7	1.1	18.696947368421
7	1.15	18.1322
7	1.2	18.2203
7	1.25	17.6773
7	1.3	18.4418
7	1.35	15.8736
7	1.4	16.6442
7	1.45	16.2188
7	1.5	16.485
8	0.1	42.3689
8	0.15	43.3735
8	0.2	44.234
8	0.25	43.541
8	0.3	36.2465
8	0.35	31.5925263157895
8	0.4	30.4794
8	0.45	29.7914
8	0.5	27.4719
8	0.55	28.0975
8	0.6	24.8545
8	0.65	23.3409
8	0.7	22.8643
8	0.75	21.5251578947368
8	0.8	21.5690526315789
8	0.85	19.3970526315789
8	0.9	19.7522
8	0.95	21.5725
8	1	17.4322105263158
8	1.05	18.973
8	1.1	17.5657
8	1.15	18.4681
8	1.2	17.2049
8	1.25	16.9256842105263
8	1.3	16.5334
8	1.35	15.6984
8	1.4	15.9686
8	1.45	16.1536
8	1.5	14.4254
9	0.1	42.6343
9	0.15	43.9543
9	0.2	43.8399
9	0.25	40.0523157894737
9	0.3	34.8053
9	0.35	30.9822
9	0.4	32.5856842105263
9	0.45	27.9739
9	0.5	26.8006315789474
9	0.55	25.8194
9	0.6	23.2275789473684
9	0.65	21.7817
9	0.7	22.6035
9	0.75	21.9232
9	0.8	20.9164
9	0.85	18.2517
9	0.9	19.1392
9	0.95	20.0128
9	1	16.8649
9	1.05	17.3885263157895
9	1.1	16.9944
9	1.15	18.2351111111111
9	1.2	17.3417647058824
9	1.25	15.5099
9	1.3	15.4041
9	1.35	16.5157894736842
9	1.4	15.5516
9	1.45	15.3133
9	1.5	15.2052
10	0.1	42.9345
10	0.15	43.8957
10	0.2	43.9996842105263
10	0.25	36.3832631578947
10	0.3	33.0915789473684
10	0.35	31.5082105263158
10	0.4	29.1614
10	0.45	29.2344
10	0.5	25.3645263157895
10	0.55	24.6601
10	0.6	23.5082
10	0.65	22.2365263157895
10	0.7	21.0121
10	0.75	20.0561052631579
10	0.8	19.3592
10	0.85	19.3793684210526
10	0.9	18.1147
10	0.95	17.8493
10	1	17.1059
10	1.05	17.5042
10	1.1	16.0250526315789
10	1.15	16.8625555555556
10	1.2	16.1916
10	1.25	16.3369
10	1.3	15.4955789473684
10	1.35	14.3138888888889
10	1.4	15.262
10	1.45	16.2829
