d	f	mean
1	0.1	0.00688529208273914
1	0.15	0.00659007182448746
1	0.2	0.00740812970655103
1	0.25	0.00788278343540327
1	0.3	0.00975842676422756
1	0.35	0.0113433599361386
1	0.4	0.0132629880555581
1	0.45	0.0135172509427264
1	0.5	0.012779284461024
1	0.55	0.0131269176845582
1	0.6	0.0133961969611356
1	0.65	0.0112244021922662
1	0.7	0.010560620202494
1	0.75	0.00960687637895342
1	0.8	0.00856061779526955
1	0.85	0.0100782730327556
1	0.9	0.0082840319627873
1	0.95	0.00951269558643183
1	1	0.00870395786582152
1	1.05	0.00867560256989131
1	1.1	0.00787560444689996
1	1.15	0.00791836211113952
1	1.2	0.00720464171941877
1	1.25	0.00786960156713421
1	1.3	0.00770041950189153
1	1.35	0.00635474485554293
1	1.4	0.00742956350862183
1	1.45	0.00642377215017087
1	1.5	0.00742737560633109
2	0.1	0.00693188567534962
2	0.15	0.00804168917383114
2	0.2	0.00953810106188307
2	0.25	0.0110114507171322
2	0.3	0.0143808313941185
2	0.35	0.0152228435564483
2	0.4	0.0183770828502768
2	0.45	0.0171281094196075
2	0.5	0.0196266909006311
2	0.55	0.0177697539880601
2	0.6	0.0170022211535445
2	0.65	0.0145692274364406
2	0.7	0.0130194330504487
2	0.75	0.012238668201675
2	0.8	0.01369470217056
2	0.85	0.0107699712314323
2	0.9	0.00987261337647413
2	0.95	0.0100243220588653
2	1	0.0089433447307243
2	1.05	0.00808300483960939
2	1.1	0.0083989274724937
2	1.15	0.0086672263523457
2	1.2	0.00790200046619022
2	1.25	0.00916704086434455
2	1.3	0.0073926944314804
2	1.35	0.00754644127110339
2	1.4	0.0081415261556835
2	1.45	0.00841320402617245
2	1.5	0.00716982393349758
3	0.1	0.00805640237230436
3	0.15	0.00867387693750999
3	0.2	0.0102748817480895
3	0.25	0.0139519206427432
3	0.3	0.0173767501218238
3	0.35	0.0206668170277902
3	0.4	0.0235889270402247
3	0.45	0.0241214031643168
3	0.5	0.0214368932012885
3	0.55	0.0221501782997146
3	0.6	0.0166883753343228
3	0.65	0.0153043531371238
3	0.7	0.0149749393642309
3	0.75	0.013289283604498
3	0.8	0.0126208304383341
3	0.85	0.0116536532367681
3	0.9	0.010859278001727
3	0.95	0.00938832622097075
3	1	0.0103171081486903
3	1.05	0.00874443416511154
3	1.1	0.00892830244083899
3	1.15	0.00892706634071616
3	1.2	0.00757530306527119
3	1.25	0.0072750553059368
3	1.3	0.00776770660508364
3	1.35	0.00786207941851213
3	1.4	0.00858035151420401
3	1.45	0.00780325358897311
3	1.5	0.00977251040221984
4	0.1	0.00750300229394974
4	0.15	0.00913849290072065
4	0.2	0.0125947642907584
4	0.25	0.0149501819672215
4	0.3	0.0161510801459352
4	0.35	0.0239168998664792
4	0.4	0.0269478628685837
4	0.45	0.0278657294188113
4	0.5	0.0264781998583426
4	0.55	0.0260060717597224
4	0.6	0.0228979718910762
4	0.65	0.0175354442709056
4	0.7	0.0171346428964427
4	0.75	0.0157774863024622
4	0.8	0.0151636441941626
4	0.85	0.0126598681300661
4	0.9	0.010597365558358
4	0.95	0.01295172225113
4	1	0.0103819505517466
4	1.05	0.0115515070109015
4	1.1	0.0126589876187874
4	1.15	0.0142956931349702
4	1.2	0.010391753408529
4	1.25	0.00881468260934747
4	1.3	0.00812261000358041
4	1.35	0.00813606302531057
4	1.4	0.00736568794641174
4	1.45	0.00979258433947434
4	1.5	0.0104201791884331
5	0.1	0.00852031660136568
5	0.15	0.0097321927027239
5	0.2	0.0116295483307612
5	0.25	0.0169575710017006
5	0.3	0.0232818610003339
5	0.35	0.0289718850565531
5	0.4	0.0355777648418349
5	0.45	0.0347456478134066
5	0.5	0.0332526395779889
5	0.55	0.0278886584056974
5	0.6	0.0271885686872419
5	0.65	0.0231013955486937
5	0.7	0.0190437894325043
5	0.75	0.0191856194487614
5	0.8	0.0151690307232611
5	0.85	0.0178685152230386
5	0.9	0.0130837071994204
5	0.95	0.012090808603014
5	1	0.0118985873855449
5	1.05	0.0118864397187438
5	1.1	0.0184799909521039
5	1.15	0.015265846450394
5	1.2	0.0121736288526239
5	1.25	0.00813768443228957
5	1.3	0.0112553889570578
5	1.35	0.010236266121105
5	1.4	0.00960841317216014
5	1.45	0.00881764826173427
5	1.5	0.00979103177660022
6	0.1	0.00785788302918366
6	0.15	0.0106163789134511
6	0.2	0.0159350571039631
6	0.25	0.0188385052167978
6	0.3	0.0256770688897095
6	0.35	0.0336317065641478
6	0.4	0.0359133932847956
6	0.45	0.0367819423309147
6	0.5	0.0340075800026238
6	0.55	0.0316313732871849
6	0.6	0.0275870415082917
6	0.65	0.0261809353661134
6	0.7	0.0225082147634938
6	0.75	0.0157179343954856
6	0.8	0.0183489626462485
6	0.85	0.0201829149115865
6	0.9	0.0144408134938734
6	0.95	0.0123169551594296
6	1	0.0122070389906451
6	1.05	0.0114187137307544
6	1.1	0.0142511607489159
6	1.15	0.0181064794338043
6	1.2	0.0161694063057631
6	1.25	0.00837220762088586
6	1.3	0.0085906344534733
6	1.35	0.00804949224062901
6	1.4	0.0105796763859235
6	1.45	0.0116970940578008
6	1.5	0.0097471746628549
7	0.1	0.00901471780733945
7	0.15	0.011164325241942
7	0.2	0.0171629240088503
7	0.25	0.0239251555290178
7	0.3	0.0264118238908834
7	0.35	0.0409897220438879
7	0.4	0.0393071899205333
7	0.45	0.0400112204674708
7	0.5	0.0404279210018455
7	0.55	0.0325546191464735
7	0.6	0.0297428031208312
7	0.65	0.0255421709053267
7	0.7	0.0263756728735889
7	0.75	0.0181052777009375
7	0.8	0.0152311342642286
7	0.85	0.0225355226996162
7	0.9	0.017025086857722
7	0.95	0.0127818686109799
7	1	0.0135448890099446
7	1.05	0.0141960649481297
7	1.1	0.014323235843742
7	1.15	0.0165132288526444
7	1.2	0.0165254894569359
7	1.25	0.00892629486451857
7	1.3	0.007576572023936
7	1.35	0.00660220329305322
7	1.4	0.0103719206423434
7	1.45	0.0100202757527588
7	1.5	0.00845189605110854
8	0.1	0.00746916948837655
8	0.15	0.0120161586247464
8	0.2	0.0154092585322782
8	0.25	0.0245010546976048
8	0.3	0.0369898798415223
8	0.35	0.0449782966786765
8	0.4	0.0460789002289941
8	0.45	0.0463754256396277
8	0.5	0.0343817958928539
8	0.55	0.0332803295484642
8	0.6	0.0266329339591755
8	0.65	0.0211987809420862
8	0.7	0.0240140542380074
8	0.75	0.0197885690675183
8	0.8	0.0173887190133639
8	0.85	0.018436009116762
8	0.9	0.019644125409459
8	0.95	0.0132651634508046
8	1	0.0107754684816123
8	1.05	0.0142415432754629
8	1.1	0.0148367425381614
8	1.15	0.0205992066604238
8	1.2	0.018358047363657
8	1.25	0.0130371104872643
8	1.3	0.00693060537119625
8	1.35	0.00789116198191817
8	1.4	0.00781246485406272
8	1.45	0.00951254125705674
8	1.5	0.0102397901293912
9	0.1	0.00817196980024759
9	0.15	0.0120709177640034
9	0.2	0.0175935287349647
9	0.25	0.029805678393169
9	0.3	0.0370218787814671
9	0.35	0.0437847484303039
9	0.4	0.0446702071791288
9	0.45	0.0460031274178606
9	0.5	0.0383132544735657
9	0.55	0.0319165743228606
