d	f	mean
1	0.1	0.0010259774345107
1	0.15	0.00155913906309153
1	0.2	0.00788726482850148
1	0.25	0.0189100432915476
1	0.3	0.0726315319783236
1	0.35	0.103298717252116
1	0.4	0.170020784004164
1	0.45	0.294207429680988
1	0.5	0.386122347368642
1	0.55	0.458875353784829
1	0.6	0.484071004192198
1	0.65	0.602956488638291
1	0.7	0.658492121639086
1	0.75	0.714664674232358
1	0.8	0.781439888617249
1	0.85	0.818206812384886
1	0.9	0.874990431888135
1	0.95	0.922561021758727
1	1	0.990922559567468
1	1.05	1.03496541427644
1	1.1	1.08748472695408
1	1.15	1.13642173265616
1	1.2	1.18972387401131
1	1.25	1.24041938276544
1	1.3	1.29455234744301
1	1.35	1.34111136667775
1	1.4	1.39375222209434
1	1.45	1.44189260925088
1	1.5	1.49092840913018
2	0.1	0.00311053442333196
2	0.15	0.0101444476891554
2	0.2	0.0211515343451411
2	0.25	0.0550935906249273
2	0.3	0.207894723719218
2	0.35	0.269626329997634
2	0.4	0.432187057739096
2	0.45	0.67867888632827
2	0.5	0.760962184029147
2	0.55	0.878934054465396
2	0.6	1.0877880573815
2	0.65	1.21734776464738
2	0.7	1.3361235863183
2	0.75	1.44836049160188
2	0.8	1.55532081310304
2	0.85	1.66947827525084
2	0.9	1.77849084966767
2	0.95	1.86843603194565
2	1	1.97906938954079
2	1.05	2.08343263953117
2	1.1	2.18635975064945
2	1.15	2.28601659163382
2	1.2	2.384329934089
2	1.25	2.48726141626652
2	1.3	2.59117579033985
2	1.35	2.69120752163211
2	1.4	2.79187133492977
2	1.45	2.88858475698189
2	1.5	2.991152776275
3	0.1	0.00291993323414857
3	0.15	0.0193492704962572
3	0.2	0.0360217993635235
3	0.25	0.12687398753561
3	0.3	0.226275341669745
3	0.35	0.356025153795942
3	0.4	0.615295146155986
3	0.45	0.975963689328454
3	0.5	1.26870295234043
3	0.55	1.42209006964029
3	0.6	1.69879873956464
3	0.65	1.85399321562004
3	0.7	2.02639635657177
3	0.75	2.18568601058091
3	0.8	2.34977215807368
3	0.85	2.50923474904166
3	0.9	2.66092723509698
3	0.95	2.823012767371
3	1	2.97553074011626
3	1.05	3.12838055919073
3	1.1	3.27600996782232
3	1.15	3.43254848907457
3	1.2	3.58733828456911
3	1.25	3.73693779476934
3	1.3	3.88130845079166
3	1.35	4.03099750116986
3	1.4	4.18359198855659
3	1.45	4.32562959593557
3	1.5	4.46630085867617
4	0.1	0.00531544842085032
4	0.15	0.0185646888320446
4	0.2	0.0460089040189158
4	0.25	0.119654757874452
4	0.3	0.283500133213819
4	0.35	0.636639567159209
4	0.4	1.02823707700684
4	0.45	1.4011383811604
4	0.5	1.69459562425567
4	0.55	1.95753163971577
4	0.6	2.23437053998213
4	0.65	2.51007298303626
4	0.7	2.69915968772009
4	0.75	2.92882545080344
4	0.8	3.14168873093459
4	0.85	3.35728817324224
4	0.9	3.56746127899457
4	0.95	3.75657158690901
4	1	3.95750107142462
4	1.05	4.13921197509377
4	1.1	4.31167069736493
4	1.15	4.26104424009092
4	1.2	4.19997436497833
4	1.25	4.00212466587427
4	1.3	3.91353093715948
4	1.35	4.05356711299935
4	1.4	4.22257793709841
4	1.45	4.35327710122135
4	1.5	4.53517263565744
5	0.1	0.00373287299235312
5	0.15	0.0163084959712183
