d	f	mean
1	0.1	0.1233
1	0.15	0.1225
1	0.2	0.135
1	0.25	0.1593
1	0.3	0.3019
1	0.35	0.3505
1	0.4	0.4572
1	0.45	0.6511
1	0.5	0.8271
1	0.55	0.9065
1	0.6	0.8136
1	0.65	1.0415
1	0.7	1.0154
1	0.75	1.016
1	0.8	1.0611
1	0.85	1.0635
1	0.9	1.0401
1	0.95	1.1105
1	1	1.2243
1	1.05	1.137
1	1.1	1.0851
1	1.15	1.128
1	1.2	1.0769
1	1.25	1.1186
1	1.3	1.2066
1	1.35	1.117
1	1.4	1.168
1	1.45	1.1744
1	1.5	1.1771
2	0.1	0.1253
2	0.15	0.1644
2	0.2	0.2044
2	0.25	0.2845
2	0.3	0.6532
2	0.35	0.6719
2	0.4	0.9118
2	0.45	1.4026
2	0.5	1.5101
2	0.55	1.4508
2	0.6	1.9841
2	0.65	1.9793
2	0.7	2.0628
2	0.75	1.9964
2	0.8	2.2141
2	0.85	2.1055
2	0.9	2.1651
2	0.95	2.1456
2	1	2.1343
2	1.05	2.1434
2	1.1	2.2162
2	1.15	2.2515
2	1.2	2.2942
2	1.25	2.2938
2	1.3	2.1856
2	1.35	2.2725
2	1.4	2.1798
2	1.45	2.3714
2	1.5	2.2218
3	0.1	0.1503
3	0.15	0.2079
3	0.2	0.2399
3	0.25	0.5169
3	0.3	0.7089
3	0.35	0.8899
3	0.4	1.2788
3	0.45	1.8787
3	0.5	2.3491
3	0.55	2.5463
3	0.6	2.8347
3	0.65	2.8136
3	0.7	2.9366
3	0.75	3.0468
3	0.8	3.348
3	0.85	3.0148
3	0.9	3.1241
3	0.95	3.298
3	1	3.3363
3	1.05	3.2612
3	1.1	3.1084
3	1.15	3.2244
3	1.2	3.1462
3	1.25	3.1323
3	1.3	3.227
3	1.35	3.321
3	1.4	3.4648
3	1.45	3.0583
3	1.5	3.1771
4	0.1	0.1448
4	0.15	0.2037
4	0.2	0.3109
4	0.25	0.5039
4	0.3	0.7372
4	0.35	1.4228
4	0.4	2.0608
4	0.45	2.8191
4	0.5	3.1604
4	0.55	3.3585
