d	f	mean
1	0.1	5.0662150076727
1	0.15	5.06404221537673
1	0.2	5.06438067043906
1	0.25	5.06307315476358
1	0.3	5.05316529369507
1	0.35	5.05670899370235
1	0.4	5.05035751888653
1	0.45	5.02469742698386
1	0.5	4.99919689885135
1	0.55	4.99724239671616
1	0.6	5.01592698590829
1	0.65	4.96213934024223
1	0.7	4.94477621521552
1	0.75	4.95142956586881
1	0.8	4.90039416879184
1	0.85	4.92835846444792
1	0.9	4.90696070776456
1	0.95	4.91252388463091
1	1	4.86106760713156
1	1.05	4.8928973052109
1	1.1	4.88374856916102
1	1.15	4.88101983318136
1	1.2	4.8621722416379
1	1.25	4.87341128838283
1	1.3	4.82646387290306
1	1.35	4.83662788896365
1	1.4	4.84333339565077
1	1.45	4.84982556865545
1	1.5	4.86272365599052
2	0.1	5.06589682434707
2	0.15	5.06069368621261
2	0.2	5.058723171537
2	0.25	5.05700331835155
2	0.3	5.03180359342642
2	0.35	5.03003108382646
2	0.4	5.02022595894438
2	0.45	4.96715749728349
2	0.5	4.98540514058293
2	0.55	4.9724537121839
2	0.6	4.92417974883737
2	0.65	4.89863359721318
2	0.7	4.87675085240836
2	0.75	4.87353014049601
2	0.8	4.86461163350811
2	0.85	4.86844605156401
2	0.9	4.82675229194459
2	0.95	4.83761494958945
2	1	4.82374769640968
2	1.05	4.8287819844241
2	1.1	4.78507844103137
2	1.15	4.79914852127087
2	1.2	4.81050000403152
2	1.25	4.81038476328824
2	1.3	4.7606685892832
2	1.35	4.7806337348588
2	1.4	4.7889584358293
2	1.45	4.76443170040232
2	1.5	4.80387175082508
3	0.1	5.0653795122343
3	0.15	5.05179615224962
3	0.2	5.05666192135984
3	0.25	5.04352908580835
3	0.3	5.03177594406446
3	0.35	5.02413558708694
3	0.4	5.00350619956461
3	0.45	4.96978783904203
3	0.5	4.92365194978392
3	0.55	4.90959721038607
3	0.6	4.85449217150229
3	0.65	4.85759540627231
3	0.7	4.85168784313948
3	0.75	4.84260580767222
3	0.8	4.83451194044895
3	0.85	4.81696408031614
3	0.9	4.77057773065109
3	0.95	4.79838163098314
3	1	4.76068780454451
3	1.05	4.80173119412179
3	1.1	4.7307770285824
3	1.15	4.75643070151694
3	1.2	4.76227971480264
3	1.25	4.75088467177649
3	1.3	4.78241134562186
3	1.35	4.7470286206787
3	1.4	4.74409809376856
3	1.45	4.75341106873707
3	1.5	4.74598187840676
4	0.1	5.0591925758343
4	0.15	5.05770907488061
4	0.2	5.05333759767544
4	0.25	5.0405356878046
4	0.3	5.02717728305681
4	0.35	4.99146022137234
4	0.4	4.95229419538803
4	0.45	4.9174787263584
4	0.5	4.90477908932414
