d	f	mean
1	0.1	0
1	0.15	0
1	0.2	0
1	0.25	0.05
1	0.3	0.15
1	0.35	0.2
1	0.4	0.4
1	0.45	0.45
1	0.5	0.35
1	0.55	0.3
1	0.6	0.3
1	0.65	0.2
1	0.7	0.25
1	0.75	0.05
1	0.8	0
1	0.85	0.2
1	0.9	0.1
1	0.95	0.1
1	1	0.05
1	1.05	0.05
1	1.1	0
1	1.15	0.05
1	1.2	0
1	1.25	0.05
1	1.3	0
1	1.35	0
1	1.4	0.05
1	1.45	0
1	1.5	0.05
2	0.1	0
2	0.15	0.05
2	0.2	0.05
2	0.25	0.2
2	0.3	0.5
2	0.35	0.35
2	0.4	0.75
2	0.45	0.65
2	0.5	0.7
2	0.55	0.6
2	0.6	0.6
2	0.65	0.4
2	0.7	0.4
2	0.75	0.2
2	0.8	0.3
2	0.85	0.1
2	0.9	0
2	0.95	0.2
2	1	0.1
2	1.05	0.05
2	1.1	0
2	1.15	0.05
2	1.2	0
2	1.25	0.05
2	1.3	0
2	1.35	0
2	1.4	0.1
2	1.45	0.05
2	1.5	0
3	0.1	0
3	0.15	0.05
3	0.2	0.2
3	0.25	0.35
3	0.3	0.6
3	0.35	0.8
3	0.4	0.95
3	0.45	1
3	0.5	0.7
3	0.55	0.8
3	0.6	0.45
3	0.65	0.4
3	0.7	0.4
3	0.75	0.3
3	0.8	0.15
3	0.85	0.25
3	0.9	0.25
3	0.95	0.1
3	1	0.1
3	1.05	0
3	1.1	0
3	1.15	0
3	1.2	0
3	1.25	0
3	1.3	0.1
3	1.35	0.05
3	1.4	0.15
3	1.45	0
3	1.5	0.2
4	0.1	0
4	0.15	0.1
4	0.2	0.15
4	0.25	0.5
4	0.3	0.45
4	0.35	0.9
4	0.4	0.9
4	0.45	0.7
4	0.5	0.85
4	0.55	0.9
4	0.6	0.75
4	0.65	0.5
4	0.7	0.4
4	0.75	0.5
4	0.8	0.35
4	0.85	0.25
4	0.9	0.2
4	0.95	0.35
4	1	0.1
4	1.05	0.25
4	1.1	0.45
4	1.15	0.35
4	1.2	0.2
4	1.25	0
4	1.3	0.05
4	1.35	0.05
4	1.4	0.05
4	1.45	0.2
4	1.5	0.1
5	0.1	0.05
5	0.15	0.1
5	0.2	0.3
5	0.25	0.4
5	0.3	0.8
5	0.35	0.8
5	0.4	0.8
5	0.45	0.75
5	0.5	0.8
5	0.55	0.8
5	0.6	0.85
5	0.65	0.7
5	0.7	0.65
5	0.75	0.7
5	0.8	0.55
5	0.85	0.6
5	0.9	0.25
5	0.95	0.25
5	1	0.25
5	1.05	0.15
5	1.1	0.6
5	1.15	0.55
5	1.2	0.25
5	1.25	0.05
5	1.3	0.15
5	1.35	0.1
5	1.4	0.15
5	1.45	0.1
5	1.5	0.15
6	0.1	0.05
6	0.15	0.15
6	0.2	0.4
6	0.25	0.5
6	0.3	0.9
6	0.35	0.95
6	0.4	0.95
6	0.45	0.85
6	0.5	0.7
6	0.55	0.85
6	0.6	0.85
6	0.65	0.8
6	0.7	0.85
6	0.75	0.4
6	0.8	0.4
6	0.85	0.9
6	0.9	0.45
6	0.95	0.2
6	1	0.25
6	1.05	0.1
6	1.1	0.4
6	1.15	0.5
6	1.2	0.65
6	1.25	0.05
6	1.3	0.0526315789473684
6	1.35	0
6	1.4	0.263157894736842
6	1.45	0.25
6	1.5	0.210526315789474
7	0.1	0.1
7	0.15	0.25
7	0.2	0.65
7	0.25	0.9
7	0.3	0.85
7	0.35	0.95
7	0.4	0.9
7	0.45	0.85
7	0.5	0.7
7	0.55	0.95
7	0.6	0.95
7	0.65	0.9
7	0.7	0.85
7	0.75	0.6
7	0.8	0.35
7	0.85	0.75
7	0.9	0.65
7	0.95	0.15
7	1	0.35
7	1.05	0.35
7	1.1	0.35
7	1.15	0.45
7	1.2	0.6
7	1.25	0.1
7	1.3	0.05
7	1.35	0.1
7	1.4	0.15
7	1.45	0.2
7	1.5	0.15
8	0.1	0
8	0.15	0.2
8	0.2	0.55
8	0.25	0.9
8	0.3	1
8	0.35	0.75
8	0.4	1
8	0.45	0.8
8	0.5	0.95
8	0.55	0.9
8	0.6	0.85
8	0.65	0.65
8	0.7	0.85
8	0.75	0.65
8	0.8	0.5
8	0.85	0.75
8	0.9	0.578947368421053
8	0.95	0.35
8	1	0.2
8	1.05	0.25
8	1.1	0.35
8	1.15	0.5
8	1.2	0.5
8	1.25	0.3
8	1.3	0
8	1.35	0.05
8	1.4	0.0526315789473684
8	1.45	0.05
8	1.5	0.15
9	0.1	0.05
9	0.15	0.2
9	0.2	0.6
9	0.25	0.95
9	0.3	0.95
9	0.35	0.85
9	0.4	1
9	0.45	0.95
9	0.5	1
9	0.55	0.95
9	0.6	1
9	0.65	0.7
9	0.7	0.8
9	0.75	0.45
9	0.8	0.4
9	0.85	0.45
9	0.9	0.75
9	0.95	0.25
9	1	0.2
9	1.05	0.3
9	1.1	0.25
9	1.15	0.55
9	1.2	0.75
9	1.25	0.25
9	1.3	0.1
9	1.35	0
9	1.4	0.05
9	1.45	0.15
9	1.5	0.2
10	0.1	0.2
10	0.15	0.25
10	0.2	0.7
10	0.25	0.95
10	0.3	0.95
10	0.35	1
10	0.4	0.9
10	0.45	0.9
10	0.5	1
10	0.55	0.8
10	0.6	0.95
10	0.65	0.6
10	0.7	0.75
10	0.75	0.5
10	0.8	0.35
10	0.85	0.6
10	0.9	0.75
10	0.95	0.4
10	1	0.2
10	1.05	0.2
10	1.1	0.35
10	1.15	0.75
10	1.2	0.85
10	1.25	0.35
10	1.3	0.15
10	1.35	0.1
10	1.4	0
10	1.45	0.105263157894737
10	1.5	0.15
