d	f	mean
1	0.1	0
1	0.15	0
1	0.2	0
1	0.25	0
1	0.3	0.15
1	0.35	0.05
1	0.4	0.2
1	0.45	0.5
1	0.5	0.8
1	0.55	0.8
1	0.6	1.1
1	0.65	1.05
1	0.7	1.1
1	0.75	1.2
1	0.8	1.2
1	0.85	1.2
1	0.9	1.05
1	0.95	1.25
1	1	1.3
1	1.05	1.25
1	1.1	1.4
1	1.15	1.1
1	1.2	1.4
1	1.25	1.35
1	1.3	1.3
1	1.35	1.1
1	1.4	1.4
1	1.45	1.25
1	1.5	1.45
2	0.1	0
2	0.15	0
2	0.2	0.05
2	0.25	0
2	0.3	0.35
2	0.35	0.6
2	0.4	1.35
2	0.45	1.7
2	0.5	1.45
2	0.55	2.15
2	0.6	2.5
2	0.65	2.4
2	0.7	2.4
2	0.75	2.65
2	0.8	2.6
2	0.85	2.25
2	0.9	2.65
2	0.95	2.75
2	1	2.9
2	1.05	2.85
2	1.1	2.95
2	1.15	3
2	1.2	2.95
2	1.25	3.05
2	1.3	2.75
2	1.35	2.75
2	1.4	2.8
2	1.45	2.55
2	1.5	2.9
3	0.1	0
3	0.15	0
3	0.2	0
3	0.25	0.25
3	0.3	1
3	0.35	1.15
3	0.4	2.15
3	0.45	2.85
3	0.5	2.8
3	0.55	3.65
3	0.6	3.85
3	0.65	4
3	0.7	4.05
3	0.75	3.35
3	0.8	4.5
3	0.85	4.1
3	0.9	4.15
3	0.95	4.25
3	1	4.5
3	1.05	4.15
3	1.1	4.1
3	1.15	4.5
3	1.2	4.3
3	1.25	3.95
3	1.3	4.1
3	1.35	4.4
3	1.4	4.5
3	1.45	3.85
3	1.5	4.35
4	0.1	0
4	0.15	0
4	0.2	0.15
4	0.25	0.5
4	0.3	1.3
4	0.35	2.4
4	0.4	3.7
4	0.45	4.6
4	0.5	4.4
4	0.55	4.25
4	0.6	4.9
4	0.65	5.25
4	0.7	5.65
4	0.75	5.1
4	0.8	5.05
4	0.85	5.75
4	0.9	5.2
4	0.95	5.35
4	1	5.3
4	1.05	5.45
4	1.1	4.95
4	1.15	4.25
4	1.2	4.55
4	1.25	4.1
4	1.3	4.4
4	1.35	4.1
4	1.4	3.95
4	1.45	3.7
4	1.5	3.2
5	0.1	0
5	0.15	0
5	0.2	0.2
5	0.25	0.75
5	0.3	1.95
5	0.35	2.95
5	0.4	3.8
5	0.45	5
5	0.5	5.55
5	0.55	6.05
5	0.6	5.9
5	0.65	6.45
5	0.7	6.3
5	0.75	6.95
5	0.8	6.85
5	0.85	6
5	0.9	5.35
5	0.95	5.55
5	1	4.9
5	1.05	4.55
5	1.1	4.75
5	1.15	4.55
5	1.2	4
5	1.25	3.8
5	1.3	3.9
5	1.35	3.4
5	1.4	3.45
5	1.45	3.95
5	1.5	4
6	0.1	0
6	0.15	0
6	0.2	0.25
6	0.25	0.9
6	0.3	2.75
6	0.35	4.1
6	0.4	5.85
6	0.45	6.65
6	0.5	6.7
6	0.55	7.3
6	0.6	7.75
6	0.65	7.15
6	0.7	6.85
6	0.75	5.7
6	0.8	5.95
6	0.85	6.2
6	0.9	5.5
6	0.95	5.1
6	1	4.8
6	1.05	4.65
6	1.1	4.6
6	1.15	3.6
6	1.2	4.2
6	1.25	3.5
6	1.3	3.4
6	1.35	3.65
6	1.4	3.55
6	1.45	4.2
6	1.5	3.75
7	0.1	0
7	0.15	0.05
7	0.2	0.4
7	0.25	1.55
7	0.3	4.35
7	0.35	5.65
7	0.4	7.2
7	0.45	7.5
7	0.5	7.6
7	0.55	7.55
7	0.6	6.95
7	0.65	7.4
7	0.7	6.6
7	0.75	5.9
7	0.8	5.9
7	0.85	5.85
7	0.9	4.75
7	0.95	4.85
7	1	5.1
7	1.05	4.1
7	1.1	4.15
7	1.15	4.25
7	1.2	3.5
7	1.25	3.6
7	1.3	3.9
7	1.35	3.65
7	1.4	3.5
7	1.45	3.35
7	1.5	3.65
8	0.1	0
8	0.15	0
8	0.2	0.65
8	0.25	2.3
8	0.3	4.1
8	0.35	7.2
8	0.4	7.2
8	0.45	7.8
8	0.5	8.25
8	0.55	8
8	0.6	7.15
8	0.65	7.05
8	0.7	6.75
8	0.75	5.5
8	0.8	5.65
8	0.85	5.7
8	0.9	5
8	0.95	4.5
8	1	5.25
8	1.05	4.15
8	1.1	4.2
8	1.15	4.55
8	1.2	3.65
8	1.25	3.7
8	1.3	3.85
8	1.35	3.7
8	1.4	3.55
8	1.45	3.65
8	1.5	3.35
9	0.1	0
9	0.15	0
9	0.2	1.05
9	0.25	3.2
9	0.3	5.4
9	0.35	7.45
9	0.4	7.95
9	0.45	7.8
9	0.5	9.15
9	0.55	7.4
9	0.6	6.7
9	0.65	6.5
9	0.7	6.3
9	0.75	5.65
9	0.8	5.35
9	0.85	5
9	0.9	4.95
9	0.95	4.6
9	1	4.65
9	1.05	4.3
9	1.1	4.15
9	1.15	4.6
9	1.2	4.55
9	1.25	3.85
9	1.3	3.6
9	1.35	3.6
9	1.4	3.6
9	1.45	3.35
9	1.5	3.05
10	0.1	0
10	0.15	0.4
10	0.2	2.2
10	0.25	3.65
10	0.3	7.35
10	0.35	8.15
10	0.4	9.2
10	0.45	9
10	0.5	8.7
10	0.55	7.15
10	0.6	7.45
10	0.65	6.1
10	0.7	6.65
10	0.75	5.35
10	0.8	5.85
10	0.85	4.95
10	0.9	4.95
10	0.95	4.9
10	1	4.75
10	1.05	4.05
10	1.1	4.1
10	1.15	4.6
10	1.2	4
10	1.25	3.75
10	1.3	3.7
10	1.35	3.45
10	1.4	3.35
10	1.45	3.6
10	1.5	3.25
